Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
01-Jan-2020,12299.85,12320.75,12263.2,12279.05,446251194,12946.17
02-Jan-2020,12294.95,12387.65,12292.2,12380.5,645781490,19429.69
03-Jan-2020,12359.7,12368.6,12292.4,12328.6,671669795,21761.81
06-Jan-2020,12270.25,12278.25,12070.75,12090.6,652762014,21896.93
07-Jan-2020,12174.65,12255.75,12106.3,12154.95,736051577,23115.45
08-Jan-2020,12034.4,12145,12026.8,12131.45,948960796,22902.66
09-Jan-2020,12259.55,12328.25,12241.75,12319.7,1053400858,24027.71
10-Jan-2020,12372,12412.95,12316.6,12359.7,939484313,24092.51
13-Jan-2020,12401.15,12442.55,12391.5,12436.45,783662824,22316.59
14-Jan-2020,12442.6,12480.45,12417.7,12468.55,838396839,23098
15-Jan-2020,12458.3,12470.35,12392.55,12458.85,974972459,23105.34
16-Jan-2020,12468.6,12506.4,12431.5,12470.6,732714264,20716.27
17-Jan-2020,12445.75,12500.95,12439.15,12471.15,1709289047,26290.92
20-Jan-2020,12544.4,12544.4,12335.1,12343.2,1063748617,26310.52
21-Jan-2020,12314.45,12349.4,12279.5,12287.25,1256487056,23778.92
22-Jan-2020,12335.1,12341.1,12213.65,12230.85,1078861020,25914.85
23-Jan-2020,12248.2,12321.4,12220.7,12312.9,1699254365,31059.04
24-Jan-2020,12307.25,12410.8,12282.7,12386.95,937241490,23456.53
27-Jan-2020,12336.75,12363.15,12249.45,12262.65,750304421,22836.18
28-Jan-2020,12292.4,12311,12175.8,12203.2,912989710,27636.91
29-Jan-2020,12262.75,12312.6,12251.3,12276.95,863864153,25719.49
30-Jan-2020,12295.1,12297.3,12144.25,12165.4,964503298,25784.58
31-Jan-2020,12228.95,12232.5,12071,12086.9,1147901344,32201.52
01-Feb-2020,12066.05,12153.85,11738.45,11768.9,861850212,26736.34
03-Feb-2020,11736.6,11864.3,11719.25,11820.3,1031833247,32677.02
04-Feb-2020,11900.05,12099.35,11898.9,12091,902955660,30502.95
05-Feb-2020,12121.05,12219.95,12071.9,12212,1096111366,29749.51
06-Feb-2020,12243.95,12295.2,12211.6,12273.7,1013558973,32846.86
07-Feb-2020,12286.85,12290.15,12223.7,12249.25,839983098,24798.34
10-Feb-2020,12253.95,12254.95,12144.05,12185.35,828817060,23141.45
11-Feb-2020,12260.2,12317.7,12237.8,12246.2,827144568,23461.08
12-Feb-2020,12288.15,12362,12282.2,12327.7,932387054,24460.49
13-Feb-2020,12342.25,12347.1,12266.25,12301.75,794527828,22112.85
14-Feb-2020,12314.25,12369.4,12210.05,12230.45,2214334346,27360.17
17-Feb-2020,12247.2,12271.7,12143.5,12152,1434093320,20180.71
18-Feb-2020,12133.6,12134.45,12009.55,12098.9,1524574950,24093.02
19-Feb-2020,12197.9,12256.2,12155.25,12248.2,1718114837,24625.16
20-Feb-2020,12242.25,12288.9,12202.75,12211.3,1724531604,27469.65
24-Feb-2020,12140.45,12140.45,11939.55,11957,1395035167,26193.74
25-Feb-2020,12007.3,12018.45,11900.6,11917.3,1278186416,25453.59
26-Feb-2020,11859.1,11902.15,11756.65,11790.1,1104078933,28427.31
27-Feb-2020,11773.95,11776.1,11646.05,11746.85,1244139818,28322.9
28-Feb-2020,11495.6,11497.9,11288.4,11316.3,1546581871,42627.48
02-Mar-2020,11500.85,11560.15,11153.65,11251.55,1249491066,32933.97
03-Mar-2020,11337.45,11471.1,11279.55,11430.85,1279395761,30668.35
04-Mar-2020,11481.55,11485.5,11205.95,11372.85,1274895204,34539.84
05-Mar-2020,11430.1,11515.55,11371.5,11397.9,1954755189,33959.11
06-Mar-2020,11061.85,11163,10957.4,11119.65,2394161843,33293.23
09-Mar-2020,10877.5,10886.3,10442.15,10583.05,2548062704,42528.38
11-Mar-2020,10476.65,10673.25,10475.1,10578,2227115701,39439.35
12-Mar-2020,10160.05,10160.75,9614.55,9693.95,2531991495,48213.9
13-Mar-2020,9177.3,10248,8642.2,10050.25,3211802047,52776.56
16-Mar-2020,9684.8,9728.1,9281.75,9316.95,2510748783,35882.43
17-Mar-2020,9395.1,9531.95,9056.35,9105.4,1917292875,34565.89
18-Mar-2020,9228.8,9265.3,8552.25,8607.95,4113890919,47452.77
19-Mar-2020,8198.2,8703.85,7964.4,8388.7,1965626432,41562.69
20-Mar-2020,8417.55,8995.35,8305,8852.05,2004820848,45760.73
23-Mar-2020,8057.35,8272.35,7694.2,7719.1,1228948752,28137.78
24-Mar-2020,7942.25,8133.9,7624.85,7897.4,1318518499,33330.26
25-Mar-2020,7827.5,8442.8,7815,8388.2,1158184925,33725.02
26-Mar-2020,8523.1,8832.25,8382.85,8732.1,1424521253,39406.13
27-Mar-2020,9032.45,9135.85,8614.35,8747.05,1309947851,38419.2
30-Mar-2020,8487.15,8683.15,8368.8,8405.3,893292409,29004.95
31-Mar-2020,8652.65,8805.95,8483.4,8731.15,1107770001,32253.83
01-Apr-2020,8722.1,8725.7,8351.75,8404.15,910933088,25488.84
03-Apr-2020,8497.75,8497.75,8213.25,8240.2,1135951449,32267.62
07-Apr-2020,8595.7,8958.95,8508.15,8934.6,1279303814,42550.8
08-Apr-2020,8842.6,9288.35,8806.85,8921.3,1451866382,46311.32
09-Apr-2020,9144.1,9300.05,9088,9282.85,1188555121,40931.47
13-Apr-2020,9276.2,9282.95,9080.2,9177.7,1738753990,34515.9
15-Apr-2020,9366.1,9449.35,9072.9,9128.25,1956343583,50455.2
16-Apr-2020,9057.55,9258.05,9020.55,9197.1,1470438278,38832.98
17-Apr-2020,9523.15,9523.6,9283.55,9453.5,1683221443,42323.52
20-Apr-2020,9573.75,9574.2,9416.85,9442.6,1384639426,36228.06
21-Apr-2020,9202.9,9237.4,9107.9,9175.65,1229727241,36995.76
22-Apr-2020,9215.55,9388.3,9130.85,9372.3,1473594215,42639.31
23-Apr-2020,9419,9521.55,9365.6,9486.7,1597917146,37049.73
24-Apr-2020,9340.8,9463.45,9312.15,9323.7,1232232691,40835.66
27-Apr-2020,9427.75,9544.2,9419.2,9462.15,1022920718,34065.01
28-Apr-2020,9570.6,9582.4,9434.15,9545.05,1167294737,36412.49
29-Apr-2020,9576.75,9754.15,9561.5,9710.7,1383333673,38769.8
30-Apr-2020,9906.05,10031.95,9883.55,10006.9,1643801529,48154.19
04-May-2020,9682.65,9683.25,9430.35,9454.05,1424063547,37809.41
05-May-2020,9591.7,9615.8,9344.55,9358.9,1220003370,37305.02
06-May-2020,9379.35,9489.25,9266.1,9428.55,1455393069,38245.56
07-May-2020,9394.25,9437.8,9335.5,9351.45,1076714362,65216.51
08-May-2020,9522.65,9528.35,9395.45,9408.65,1011497649,36485.11
11-May-2020,9505.95,9596.8,9393.45,9411.7,1916995744,37488.23
12-May-2020,9343.6,9415.05,9218.45,9372.25,1648822311,44434.96
13-May-2020,9752.35,9752.45,9518.8,9552.65,1710074994,44540.75
14-May-2020,9396.85,9465.85,9310.05,9333.1,1170951485,37325.06
15-May-2020,9371.9,9372.05,9240.95,9320.6,1080340845,32597.28
18-May-2020,9339.9,9340,8988.95,9004.4,1441748253,40515.87
19-May-2020,9140.95,9209.25,9036.05,9060.15,1915613615,38341.53
20-May-2020,9069.7,9276.6,9055.2,9249.15,1358836937,36714.21
21-May-2020,9265.75,9366.75,9243.8,9299.8,1335073201,36437.05
22-May-2020,9263.25,9344.05,9165.45,9226.8,1318601668,38328.88
26-May-2020,9284.35,9341.4,9187.8,9219.6,1141939246,36694.87
27-May-2020,9267.75,9488.35,9186.7,9471.6,1234643132,40241.14
28-May-2020,9519.7,9669.05,9492.75,9648.2,1701278974,45022.21
29-May-2020,9584.05,9777.1,9542.55,9759.45,3947490978,61200.67
01-Jun-2020,9900.7,10093.15,9882.7,9996.4,1791819753,47449.27
02-Jun-2020,10051.2,10153.85,9998.4,10139.75,2138778507,45759.1
03-Jun-2020,10266.9,10336.65,10194.05,10220.25,2215510124,49058.64
04-Jun-2020,10219.75,10293.35,10108.5,10198,2108980071,46575
05-Jun-2020,10265.7,10357.5,10213.85,10324.15,3270327392,47732.95
08-Jun-2020,10506.25,10506.3,10298.65,10346.7,3471432404,49786.27
09-Jun-2020,10367.75,10472.8,10202.7,10231.25,2788328255,47367.79
10-Jun-2020,10255.45,10322.1,10211.55,10291.7,2144837522,37579.29
11-Jun-2020,10271.65,10297.95,10066.6,10082.1,3371136358,40894.26
12-Jun-2020,9720.55,10180.8,9719.65,10158.3,2676409014,45968.33
15-Jun-2020,10113.4,10141.15,9924.1,10005.8,1909180732,40173.96
16-Jun-2020,10200.45,10230.6,9917.4,10097.35,2063440331,44250.42
