,Equity,Issue price,Listed Date,Open,Close,Listing Gains (%ge),CMP,Current gains %ge
81,BCPL Railway In,35.0,29th Oct,35.0,,,71.0,102.86
82,Ultra Wiring Co,35.0,25th Oct,33.05,,,29.9,-14.57
83,Vivid Mercant,51.0,23rd Oct,53.0,40.48,-20.63,16.8,-67.06
84,S.M. Gold,30.0,19th Oct,30.6,20.33,-32.23,33.2,10.67
85,Iris Clothings,90.0,18th Oct,0.0,,,87.0,-3.33
86,Sun Retail,23.0,16th Oct,36.0,37.8,64.35,28.5,23.91
87,B&B Triplewall,36.0,15th Oct,37.8,,,78.7,118.61
88,AKI India,11.05,12th Oct,11.0,11.55,4.52,12.0,8.6
89,Shubham Polyspi,40.0,12th Oct,41.8,21.93,-45.18,58.1,45.25
90,Vinny Overseas,40.0,11th Oct,40.5,,,35.0,-12.5
91,Kritika Wires,32.0,10th Oct,34.1,,,36.7,14.69
92,Silgo Retail,36.0,10th Oct,36.25,,,58.1,61.39
93,Garden Reach Sh,118.0,10th Oct,104.0,,,185.25,56.99
94,Parin Furniture,63.0,9th Oct,64.0,,,51.25,-18.65
95,Rajnandini Meta,26.0,8th Oct,35.0,,,86.1,231.15
96,Kshitij Polylin,35.0,8th Oct,35.5,,,24.4,-30.29
97,AAVAS Financier,821.0,8th Oct,758.0,773.15,-5.83,,180.77
98,Innovative Idea,40.0,5th Oct,43.0,45.15,12.87,7.5,-81.25
99,Misquita Engine,27.0,4th Oct,27.85,,,26.5,-1.85
100,Manorama Indust,188.0,4th Oct,190.2,,,770.0,309.57
101,Sky Gold,180.0,3rd Oct,180.45,180.45,0.25,181.5,0.83
102,Spectrum Electr,65.0,1st Oct,66.5,,,57.0,-12.31
103,Ircon Internati,475.0,28th Sep,422.0,,,80.95,-82.96
104,Ahlada Engineer,150.0,27th Sep,141.0,,,89.45,-40.37
105,AKG Exim,31.0,26th Sep,33.5,,,77.5,150.0
106,Ranjeet Mechatr,25.0,26th Sep,27.5,28.85,15.4,10.05,-59.8
107,Lagnam Spintex,41.0,18th Sep,41.0,,,14.2,-65.37
108,Sumit Woods,45.0,10th Sep,47.95,,,9.8,-78.22
109,Marshall Machin,42.0,7th Sep,37.45,,,10.55,-74.88
110,Supreme Enginee,32.0,6th Sep,27.1,,,26.7,-16.56
111,Aaron Industrie,38.0,3rd Sep,36.1,,,56.1,47.63
112,Dangee Dums,74.0,3rd Sep,89.9,,,129.45,74.93
113,Powerful Techno,51.0,28th Aug,48.0,,,3.5,-93.14
114,Sungold Media &,10.0,27th Aug,9.75,9.71,-2.9,6.84,-31.6
115,CreditAccess Gr,422.0,23rd Aug,393.0,420.8,-0.28,669.0,58.53
116,Tembo Global,69.0,13th Aug,69.3,,,102.0,47.83
117,HDFC AMC,1100.0,6th Aug,1726.0,,,,155.99
118,Ushanti Colour,60.0,2nd Aug,61.0,,,31.55,-47.42
119,Ganesh Films In,80.0,31st Jul,82.0,,,8.3,-89.63
120,TCNS Clothing C,716.0,30th Jul,715.0,657.8,-8.13,503.55,-29.67
121,Supershakti Met,375.0,30th Jul,377.0,188.25,-49.8,275.0,-26.67
122,Avro India,51.0,26th Jul,52.0,,,43.95,-13.82
123,Ambani Organics,66.0,18th Jul,66.65,,,49.9,-24.39
124,Raw Edge Indust,72.0,18th Jul,72.1,72.4,0.56,49.0,-31.94
125,RUDRABHISHEK,41.0,13th Jul,41.25,,,186.0,353.66
126,Ganga Forging,21.0,11th Jul,20.15,,,40.5,92.86
127,Jakharia Fabric,180.0,11th Jul,180.0,,,141.5,-21.39
128,Bright Solar,36.0,9th Jul,36.6,,,10.8,-70.0
129,Varroc Engineer,967.0,6th Jul,1015.0,,,370.0,-61.74
130,Fine Organics,783.0,2nd Jul,815.0,822.8,5.08,,182.25
131,RITES,185.0,2nd Jul,190.0,170.16,-8.02,240.5,30.0
132,Accuracy Shippi,84.0,22nd Jun,86.0,,,53.25,-36.61
133,Priti Internati,75.0,21st Jun,81.0,,,95.15,26.87
134,Shreeoswal Seed,25.0,20th Jun,27.1,,,29.0,16.0
135,Waa Solar,161.0,12th Jun,153.0,,,92.0,-42.86
136,Palm Jewels,30.0,12th Jun,35.7,,,70.95,136.5
137,Rajnish Wellnes,95.0,9th Jun,100.0,,,11.44,-87.96
138,Nakoda Group,35.25,6th Jun,35.0,,,25.25,-28.37
139,Affordable Robo,85.0,4th Jun,88.0,,,90.75,6.76
140,Debock Sales,20.0,4th Jun,20.35,,,7.7,-61.5
141,Arihant Institu,30.0,4th Jun,29.25,,,1.95,-93.5
142,Suumaya Ind.,18.0,4th Jun,18.0,,,174.75,870.83
143,Innovators Faca,72.0,24th May,72.0,75.6,5.0,38.0,-47.22
144,Megastar Foods,30.0,24th May,30.5,31.0,3.33,25.1,-16.33
145,Milestone Furni,45.0,23rd May,42.25,40.35,-10.33,17.6,-60.89
146,U. H. Zaveri,36.0,22nd May,25.65,25.65,-28.75,8.5,-76.39
147,Indostar Capita,572.0,21st May,600.6,585.5,2.36,317.4,-44.51
148,Five Core,140.0,21st May,140.9,,,31.7,-77.36
149,E2E Networks,57.0,15th May,52.0,,,38.6,-32.28
150,Sov Gold 2018-1,0.0,11th May,0.0,,,,
151,Dr Lalchandani,30.0,9th May,29.95,,,11.0,-63.33
152,Mahickra Chemic,25.0,26th Apr,36.75,,,79.1,216.4
153,Bombay Super,60.0,25th Apr,60.0,,,134.0,123.33
154,Penta Gold,37.0,25th Apr,37.0,,,95.2,157.3
155,Narmada Agrobas,0.0,19th Apr,31.45,,,10.15,
156,MMP Industries,188.0,12th Apr,188.0,,,84.8,-54.89
157,Soni Soya Produ,25.0,12th Apr,26.0,,,9.3,-62.8
158,S.S. Infrastruc,40.0,12th Apr,40.0,,,10.15,-74.63
159,Giriraj Civil D,0.0,12th Apr,0.0,,,73.85,
160,Vera Synthetic,40.0,12th Apr,45.0,,,35.7,-10.75
161,AVG Logistics,107.0,11th Apr,107.0,,,48.6,-54.58
162,Lemon Tree Hote,56.0,9th Apr,61.6,,,35.95,-35.8
163,Taylormade Rene,30.0,6th Apr,0.0,,,7.16,-76.13
164,Orissa Bengal C,0.0,5th Apr,33.45,,,24.0,
165,ICICI Securitie,520.0,5th Apr,435.0,444.9,-14.44,401.0,-22.88
166,Continental See,0.0,4th Apr,0.0,,,6.2,
167,Mishra Dhatu Ni,0.0,4th Apr,93.1,90.0,0.0,177.55,
168,Lex Nimble Solu,57.0,4th Apr,55.35,,,32.0,-43.86
169,Kapston Facilit,0.0,4th Apr,0.0,,,102.75,
170,Benara Bearings,63.0,3rd Apr,0.0,,,9.0,-85.71
171,Sandhar Technol,0.0,2nd Apr,0.0,,,206.65,
172,Yasho Industrie,100.0,2nd Apr,0.0,,,272.0,172.0
173,Mittal Life Sty,21.0,2nd Apr,0.0,,,10.75,-48.81
174,Karda Construct,180.0,2nd Apr,0.0,,,113.15,-37.14
175,Hindustan Aeron,1215.0,28th Mar,1159.0,1128.35,-7.13,974.45,-19.8
176,Bandhan Bank,375.0,27th Mar,485.0,477.2,27.25,345.05,-7.99
177,Ridings Consult,18.0,26th Mar,0.0,18.0,0.0,8.35,-53.61
178,Advitiya Trade,0.0,26th Mar,0.0,,,15.5,
179,Active Clothing,65.0,26th Mar,0.0,65.65,1.0,10.05,-84.54
180,Bharat Dynamics,428.0,23rd Mar,360.0,390.7,-8.71,331.5,-22.55
181,Marvel Decor Lt,0.0,23rd Mar,0.0,57.85,0.0,22.0,
182,Tara Chand Logi,0.0,23rd Mar,0.0,49.05,0.0,33.6,
183,Macpower,0.0,22nd Mar,0.0,158.87,0.0,90.0,
184,Shreeshay Engin,15.0,21st Mar,0.0,15.23,1.53,16.0,6.67
185,Uniinfo Telecom,55.0,15th Mar,55.75,55.75,1.36,20.55,-62.64
186,East India Sec,920.0,13th Mar,930.0,930.0,1.09,,9.24
187,HG Infra Engg,270.0,9th Mar,270.0,270.05,0.02,280.15,3.76
188,Banka Bioloo,115.0,26th Feb,115.0,,,57.55,-49.96
189,Aster DM Health,190.0,26th Feb,182.0,179.85,-5.34,134.65,-29.13
190,Tasty Dairy Spe,45.0,21st Feb,48.35,,,21.35,-52.56
191,Bhatia Communic,150.0,20th Feb,150.0,,,68.0,-54.67
192,Kenvi Jewels,36.0,16th Feb,39.01,,,11.0,-69.44
193,Sintercom India,65.0,15th Feb,78.0,78.0,20.0,82.8,27.38
194,A and M Jumbo B,65.0,12th Feb,65.0,16.64,-74.4,9.1,-86.0
195,Galaxy Surfacta,1480.0,8th Feb,1525.0,1698.1,14.74,,60.47
196,Gujarat Hy-Spin,10.0,8th Feb,10.81,,,7.99,-20.1
197,Focus Suits Sol,18.0,8th Feb,21.6,,,1.45,-91.94
198,Vasa Retail and,30.0,6th Feb,51.8,36.0,20.0,6.0,-80.0
199,Solex Energy,52.0,5th Feb,43.5,,,33.25,-36.06
200,Shree Ram Proti,31.0,5th Feb,28.95,32.55,5.0,28.5,-8.06
201,CRP Risk Manage,60.0,31st Jan,49.7,,,24.4,-59.33
202,Amber Enterpris,859.0,30th Jan,1175.0,1237.25,44.03,,253.95
203,Newgen Software,245.0,29th Jan,256.0,253.0,3.27,272.6,11.27
204,Apollo Micro Sy,275.0,22nd Jan,478.0,454.1,65.13,94.05,-65.8
205,SKS Textiles,150.0,19th Jan,93.0,133.35,-11.1,25.15,-83.23
206,Silly Monks Ent,120.0,17th Jan,141.8,,,19.4,-83.83
207,Jhandewalas Foo,55.0,12th Jan,73.6,,,9.5,-82.73
208,Rithwik Facilit,50.0,11th Jan,37.0,,,43.6,-12.8
209,Brand Concepts,45.0,10th Jan,77.5,54.0,20.0,27.5,-38.89
210,Moksh Ornaments,37.0,3rd Jan,0.0,44.4,20.0,43.0,16.22
211,Ajooni Biotech,30.0,2nd Jan,36.0,32.4,8.0,30.0,0.0
212,Astron Paper &,50.0,29th Dec,120.75,119.7,139.4,41.5,-17.0
213,MRC Exim,15.0,18th Dec,10.75,12.5,-16.67,6.99,-53.4
214,Future Supply,664.0,18th Dec,674.0,685.8,3.28,73.55,-88.92
215,Shalby,248.0,15th Dec,237.0,239.25,-3.53,98.05,-60.46
216,Ratnabhumi Deve,63.0,14th Dec,52.65,63.55,0.87,43.1,-31.59
217,Dynamic Cables,40.0,14th Dec,62.6,48.0,20.0,23.75,-40.63
218,Innovana,70.0,12th Dec,132.95,33.44,-52.23,91.0,30.0
219,Shradha Infra,70.0,11th Dec,70.05,66.9,-4.43,43.25,-38.21
220,ICE Make Refrig,57.0,8th Dec,105.85,68.4,20.0,67.0,17.54
221,Felix Industrie,35.0,5th Dec,36.45,35.8,2.29,40.65,16.14
222,Zodiac Energy,52.0,5th Dec,52.5,25.55,-50.87,12.25,-76.44
223,Silver Touch Te,121.0,1st Dec,126.8,122.0,0.83,85.0,-29.75
224,Vertoz Advertis,108.0,24th Nov,253.0,,,241.45,123.56
225,Pulz Electronic,54.0,24th Nov,52.2,32.03,-40.69,10.25,-81.02
226,Sanghvi Brands,69.0,22nd Nov,175.5,,,11.55,-83.26
227,ANI Integrated,100.0,20th Nov,166.25,120.0,20.0,35.55,-64.45
228,HDFC Life,290.0,17th Nov,313.0,344.25,18.71,669.0,130.69
229,Khadim India,750.0,14th Nov,727.0,688.5,-8.2,147.05,-80.39
230,SecUR Credentia,205.0,13th Nov,236.95,198.6,-3.12,14.0,-93.17
231,Mahindra Logist,429.0,10th Nov,425.0,429.15,0.03,526.8,22.8
232,Nippon,252.0,6th Nov,289.0,284.0,12.7,322.4,27.94
233,Sov Gold Bonds,0.0,31st Oct,0.0,,,,
234,Sheetal Cool Pr,80.0,30th Oct,136.5,,,161.0,101.25
235,Kaarya Faciliti,40.0,27th Oct,59.0,,,27.3,-31.75
236,General Insuran,912.0,25th Oct,870.4,435.2,-52.28,203.05,-77.74
237,IEX,1650.0,23rd Oct,1500.0,162.65,-90.14,330.55,-79.97
238,D. P. Abhushan,28.0,23rd Oct,83.8,33.6,20.0,113.0,303.57
239,Godrej Agrovet,460.0,16th Oct,615.0,595.55,29.47,484.0,5.22
240,Shree Ganesh Re,36.0,13th Oct,39.5,,,265.75,638.19
241,Shreeji Translo,130.0,13th Oct,164.5,,,55.0,-57.69
242,Omfurn India,23.0,13th Oct,23.5,22.85,-0.65,9.55,-58.48
243,Beta Drugs,85.0,12th Oct,192.75,101.95,19.94,116.2,36.71
244,Siddharth Educa,35.0,12th Oct,43.35,,,14.75,-57.86
245,CMM Infraprojec,40.0,12th Oct,97.95,42.25,5.63,4.55,-88.63
